NEIGHBORHOOD,ADDRESS,Sale_Price,SALE_DATE
FLATBUSH-CENTRAL,1304 DITMAS AVENUE,2526000,7/31/20
FLATBUSH-CENTRAL,806 ROGERS AVENUE,999000,7/31/20
FLATBUSH-CENTRAL,808 ROGERS AVENUE,1051000,7/31/20
FLATBUSH-CENTRAL,"221 EAST 18TH STREET, 4F",420000,7/31/20
FLATBUSH-EAST,679 EAST 48TH STREET,160487,7/31/20
FLATBUSH-EAST,265 EAST 31ST STREET,818030,7/31/20
FLATBUSH-EAST,"1655 FLATBUSH AVENUE, A1509",275000,7/31/20
FLATBUSH-NORTH,"330 LENOX ROAD, 7U",265000,7/31/20
FLATLANDS,"2239 TROY AVENUE, 1H",255000,7/31/20
FORT GREENE,"122 ASHLAND PLACE, 3H",570420,7/31/20
GOWANUS,"161 12TH STREET, 5A",641520,7/31/20
GOWANUS,"161 12TH STREET, PH",1350000,7/31/20
GREENPOINT,152 NORMAN AVENUE,3100000,7/31/20
MANHATTAN BEACH,222 SHORE BOULEVARD,1999990,7/31/20
MARINE PARK,"2271 KNAPP STREET, 3D",256470,7/31/20
OCEAN HILL,597 BAINBRIDGE STREET,1370000,7/31/20
OCEAN HILL,1391 HERKIMER STREET,571500,7/31/20
OCEAN HILL,244 SARATOGA AVENUE,480000,7/31/20
OCEAN HILL,"1325 HERKIMER STREET, 201",580000,7/31/20
OCEAN PARKWAY-NORTH,"1119 OCEAN PARKWAY, 5N/5O",415000,7/31/20
OCEAN PARKWAY-NORTH,"1360 OCEAN PARKWAY, 11H",397409,7/31/20
OLD MILL BASIN,1785 EAST48TH STREET,610000,7/31/20
OLD MILL BASIN,1502 EAST 58TH STREET,685000,7/31/20
OLD MILL BASIN,6417 AVENUE T,635000,7/31/20
OLD MILL BASIN,2267 UTICA AVENUE,550000,7/31/20
PARK SLOPE,369 BERGEN STREET,2950000,7/31/20
PARK SLOPE,"225 LINCOLN PLACE, 3J",975000,7/31/20
PROSPECT HEIGHTS,"330 ST. MARKS AVENUE, 330-2",1695000,7/31/20
SHEEPSHEAD BAY,"2616 HOMECREST AVENUE, 2J",370110,7/31/20
SHEEPSHEAD BAY,"2403 EAST 13 STREET, 3B",320000,7/31/20
SUNSET PARK,"549 41ST STREET, 1B",540000,7/31/20
WILLIAMSBURG-EAST,67 JACKSON STREET,1725000,7/31/20
WILLIAMSBURG-EAST,215 MONTROSE AVE,1760000,7/31/20
WILLIAMSBURG-NORTH,117 NORTH 4TH STREET,2800000,7/31/20
BAY RIDGE,313 82ND STREET,975000,8/3/20
BEDFORD STUYVESANT,561 MACDONOUGH STREET,1055000,8/3/20
BEDFORD STUYVESANT,63A LEWIS AVENUE,875000,8/3/20
BOERUM HILL,"326 STATE STREET, 1A",750000,8/3/20
BOROUGH PARK,1026 55TH STREET,1700000,8/3/20
BROOKLYN HEIGHTS,"2 MONTAGUE TERRACE, 3B",4250000,8/3/20
BROWNSVILLE,166 LIVONIA AVE,350000,8/3/20
BUSHWICK,"1009 HANCOCK, 1F",615000,8/3/20
CONEY ISLAND,"2942 WEST 5TH ST, 16D",342000,8/3/20
DYKER HEIGHTS,1266 72ND STREET,1300000,8/3/20
EAST NEW YORK,1067 BARBEY STREET,732500,8/3/20
FORT GREENE,"1 HANSON PLACE, 16A",967500,8/3/20
FORT GREENE,"75 GREENE AVENUE, 1C",1625000,8/3/20
FORT GREENE,"75 GREENE AVENUE, STORA",10140,8/3/20
GREENPOINT,684 LEONARD STREET,1500000,8/3/20
MADISON,2006 EAST 26TH STREET,770000,8/3/20
OCEAN HILL,610 BAINBRIDGE STREET,1715000,8/3/20
OCEAN HILL,2521 ATLANTIC AVENUE,1050000,8/3/20
OCEAN PARKWAY-SOUTH,2097 EAST 4TH STREET,3300000,8/3/20
PARK SLOPE,"420 12TH STREET, F3R",2075000,8/3/20
PROSPECT HEIGHTS,"20 PLAZA STREET EAST, D17",770000,8/3/20
PROSPECT HEIGHTS,"660 BERGEN STREET, 1D",1275000,8/3/20
SHEEPSHEAD BAY,2241 EAST 14TH STREET,780000,8/3/20
WILLIAMSBURG-EAST,"267 AINSLIE ST, 4",1400094,8/3/20
WILLIAMSBURG-EAST,"390 LORIMER STREET, P12",25000,8/3/20
WINDSOR TERRACE,161A MCDONALD AVE,1970000,8/3/20
BEDFORD STUYVESANT,366 GREENE AVENUE,2115000,8/4/20
BOROUGH PARK,294 DAHILL ROAD,660000,8/4/20
BOROUGH PARK,4611 18TH AVENUE,1139000,8/4/20
BOROUGH PARK,856 49TH STREET,1625000,8/4/20
BROOKLYN HEIGHTS,"130 HICKS ST, 6B",402987,8/4/20
CLINTON HILL,"345 CLINTON AVENUE, 10D",678000,8/4/20
COBBLE HILL,198 WARREN STREET,4739300,8/4/20
CROWN HEIGHTS,1367 EASTERN PARKWAY,2350000,8/4/20
FLATBUSH-CENTRAL,1630 NOSTRAND AVENUE,450000,8/4/20
FLATBUSH-EAST,937 EAST 32ND STREET,625000,8/4/20
FLATBUSH-LEFFERTS GARDEN,1042 NOSTRAND AVE,900000,8/4/20
FLATBUSH-NORTH,167 EAST 54TH STREET,900000,8/4/20
GOWANUS,"229 9TH STREET, 501",1145000,8/4/20
GOWANUS,"229 9TH STREET, P1",1145000,8/4/20
OCEAN HILL,1664 BROADWAY,960000,8/4/20
OCEAN PARKWAY-NORTH,"693 EAST 2ND STREET, 93B",525000,8/4/20
OCEAN PARKWAY-NORTH,"1250 OCEAN PARKWAY, 4P/4R",675000,8/4/20
OCEAN PARKWAY-SOUTH,2357 WEST STREET,1380000,8/4/20
PARK SLOPE,"309 3RD STREET, 5I",1100000,8/4/20
PARK SLOPE SOUTH,"393 17TH STREET, 2B",1525000,8/4/20
PROSPECT HEIGHTS,"673 VANDERBILT AVENUE, 3C",499000,8/4/20
BATH BEACH,8801 17TH AVENUE,845000,8/5/20
BOROUGH PARK,"5104 10TH AVENUE, 2",905000,8/5/20
BROWNSVILLE,333 GRAFTON STREET,600000,8/5/20
BUSHWICK,"1009 HANCOCK, 4R",780000,8/5/20
CANARSIE,33 PAERDEGAT 8 STREET,10,8/5/20
CANARSIE,1477 EAST 89TH STREET,467000,8/5/20
CLINTON HILL,"195 WILLOUGHBY AVENUE, 612",875000,8/5/20
DOWNTOWN-FULTON MALL,"138 WILLOUGHBY STREET, 17K",1120465,8/5/20
DYKER HEIGHTS,7317 13TH AVE,1190000,8/5/20
EAST NEW YORK,509 MILLER AVENUE,10,8/5/20
FLATBUSH-CENTRAL,"2835 BEDFORD AVENUE, 5H",295000,8/5/20
FLATBUSH-CENTRAL,"2100 BEDFORD AVENUE, SB2",8112,8/5/20
FLATBUSH-EAST,1893 ALBANY AVENUE,550000,8/5/20
FLATBUSH-EAST,5117 CHURCH AVENUE,785000,8/5/20
FLATBUSH-LEFFERTS GARDEN,36 MAPLE STREET,10,8/5/20
FORT GREENE,9 ST. FELIX STREET,2700000,8/5/20
GREENPOINT,219 MONITOR STREET,618000,8/5/20
GREENPOINT,"415 LEONARD STREET, 2A",1125000,8/5/20
GREENPOINT,"43 NEWELL STREET, PH-1",930000,8/5/20
MADISON,1832 EAST 12TH STREET,1750000,8/5/20
MARINE PARK,2164 EAST 38TH STREET,595000,8/5/20
MARINE PARK,"2220 BURNETT STREET, 3D",230000,8/5/20
MARINE PARK,1701 EAST 35TH STREET,3737106,8/5/20
OCEAN HILL,"2178 ATLANTIC AVENUE, 16",850000,8/5/20
OCEAN PARKWAY-NORTH,"1250 OCEAN PARKWAY, 6E",518000,8/5/20
OCEAN PARKWAY-SOUTH,2133 EAST 9TH STREET,253500,8/5/20
OCEAN PARKWAY-SOUTH,2135 EAST 9TH STREET,50700,8/5/20
PARK SLOPE,26 PARK PLACE,2325000,8/5/20
PARK SLOPE,198 5TH AVENUE,3750000,8/5/20
PARK SLOPE,200 5TH AVENUE,3750000,8/5/20
WYCKOFF HEIGHTS,368 WEIRFIELD STREET,900000,8/5/20
BEDFORD STUYVESANT,420A LAFAYETTE AVENUE,1100000,8/6/20
BENSONHURST,2259 85TH STREET,1500000,8/6/20
BERGEN BEACH,2173 EAST 69TH STREET,1180000,8/6/20
BOROUGH PARK,6201 15TH AVENUE,29500000,8/6/20
BOROUGH PARK,6310 15TH AVENUE,29500000,8/6/20
BRIGHTON BEACH,"601 BRIGHTWATER COURT, 6E",347000,8/6/20
BRIGHTON BEACH,"108 NEPTUNE AVENUE, 3J",615000,8/6/20
CANARSIE,1025 E 103RD STREET,478091,8/6/20
CONEY ISLAND,"601 SURF AVENUE, 19N",495000,8/6/20
DOWNTOWN-FULTON FERRY,"100 JAY STREET, 14E",810000,8/6/20
DYKER HEIGHTS,1325 66TH STREET,1680000,8/6/20
DYKER HEIGHTS,1323 66TH STREET,1680000,8/6/20
EAST NEW YORK,387 WARWICK STREET,360000,8/6/20
FLATBUSH-CENTRAL,482 EAST 18TH STREET,1300000,8/6/20
FLATBUSH-EAST,384 LINDEN BLVD,725000,8/6/20
FLATBUSH-NORTH,916 EAST NEW YORK AVENUE,1400000,8/6/20
GRAVESEND,111 LAMA COURT,780000,8/6/20
GRAVESEND,2527 WEST 17TH STREET,420000,8/6/20
GREENPOINT,"155 NEWEL STREET, 4A",999999,8/6/20
GREENPOINT,"122 NEWTON STREET, 1A",1995000,8/6/20
MADISON,3060 NOSTRAND AVENUE,720000,8/6/20
MARINE PARK,2137 COLEMAN STREET,775000,8/6/20
OCEAN PARKWAY-SOUTH,739 AVENUE Y,1100000,8/6/20
PARK SLOPE,"118 ST MARKS PLACE, 3",1625000,8/6/20
PARK SLOPE,"444 12TH STREET, 3B",2200000,8/6/20
PARK SLOPE,"361 6TH AVENUE, 1",1630000,8/6/20
PROSPECT HEIGHTS,"653 BERGEN STRET, 2",1995000,8/6/20
SHEEPSHEAD BAY,2721 BROWN STREET,809000,8/6/20
SHEEPSHEAD BAY,"2756 EAST 23 STREET, 2A",615000,8/6/20
SHEEPSHEAD BAY,"2756 EAST 23RD STREET, P9",615000,8/6/20
SHEEPSHEAD BAY,"3165 EMMONS AVENUE, P32",40000,8/6/20
SUNSET PARK,667 5 AVENUE,2100000,8/6/20
WILLIAMSBURG-CENTRAL,"565 FLUSHING AVENUE, C1",1800000,8/6/20
WILLIAMSBURG-NORTH,"66 NORTH 1ST, 2C",770000,8/6/20
WINDSOR TERRACE,413 GREENWOOD AVENUE,1375000,8/6/20
BATH BEACH,287 BAY 20TH STREET,800000,8/7/20
BEDFORD STUYVESANT,92 PULASKI STREET,1700000,8/7/20
BEDFORD STUYVESANT,389 MONROE STREET,1138404,8/7/20
BEDFORD STUYVESANT,"442 PULASKI STREET, 1",1075000,8/7/20
BUSHWICK,27 BLEECKER STREET,1450000,8/7/20
BUSHWICK,1131 JEFFERSON AVENUE,875000,8/7/20
CYPRESS HILLS,10 VERMONT COURT,906309,8/7/20
DYKER HEIGHTS,1075 86TH STREET,780000,8/7/20
FLATBUSH-EAST,602 EAST 48 STREET,697000,8/7/20
FLATBUSH-NORTH,887 RUTLAND ROAD,1000,8/7/20
FLATLANDS,1049 EAST 56 STREET,550000,8/7/20
GOWANUS,"251 7 STREET, P28",110000,8/7/20
GRAVESEND,19 BAY 49TH STREET,650000,8/7/20
MADISON,"2234 OCEAN AVENUE, C5",469268,8/7/20
MARINE PARK,1661 EAST 36TH STREET,667800,8/7/20
OCEAN HILL,340 THOMAS BOYLAND STREET,375000,8/7/20
OCEAN HILL,"2390 DEAN, 4B",412739,8/7/20
PARK SLOPE,"438 4TH STREET, 2B",880000,8/7/20
SUNSET PARK,5623 4TH AVENUE,2100000,8/7/20
MADISON,"1764 EAST 19TH STREET, 4C",250000,8/8/20
BEDFORD STUYVESANT,"203 QUINCY STREET, 2A",438994,8/10/20
BENSONHURST,1546 75TH STREET,1250000,8/10/20
BERGEN BEACH,7515 AVENUE W,1200000,8/10/20
DOWNTOWN-METROTECH,"225 ADAMS STREET, 4G",450000,8/10/20
DYKER HEIGHTS,"1023 72ND STREET, 3A",750000,8/10/20
DYKER HEIGHTS,"1023 72ND STREET, P5",750000,8/10/20
EAST NEW YORK,445 HEGEMAN AVENUE,499999,8/10/20
FLATBUSH-EAST,1234 EAST 31ST STREET,760000,8/10/20
FLATBUSH-EAST,4501 FOSTER AVENUE,475000,8/10/20
FLATBUSH-EAST,1060 UTICA AVENUE,1200000,8/10/20
FLATBUSH-NORTH,34 E 55TH STREET,10,8/10/20
FLATBUSH-NORTH,303 E 96TH STREET,40000,8/10/20
FLATBUSH-NORTH,1168 WILLMOHR STREET,1632500,8/10/20
FLATLANDS,1646 EAST 46,475000,8/10/20
FLATLANDS,1386 EAST 48TH STREET,10000,8/10/20
GRAVESEND,"355 KINGS HIGHWAY, 3C",860000,8/10/20
GRAVESEND,"355 KINGS HIGHWAY, PS16",860000,8/10/20
MADISON,"2503 OCEAN AVENUE, 5D",488520,8/10/20
MARINE PARK,1953 EAST 33RD STREET,590000,8/10/20
MIDWOOD,"1322 EAST 14TH, 4A",730000,8/10/20
MIDWOOD,"1322 EAST 14TH, P3",730000,8/10/20
OCEAN HILL,2120 FULTON STREET,80000,8/10/20
OLD MILL BASIN,"5612 AVENUE T, 61C",215000,8/10/20
PARK SLOPE,180 FIFTH AVENUE,1392780,8/10/20
PARK SLOPE,"292 7TH STREET, D",725000,8/10/20
SHEEPSHEAD BAY,1313 AVENUE Y,875000,8/10/20
SHEEPSHEAD BAY,2329 BRIGHAM STREET,617000,8/10/20
SUNSET PARK,122 30TH STREET,810000,8/10/20
WILLIAMSBURG-CENTRAL,257 PENN STREET,1500000,8/10/20
WILLIAMSBURG-CENTRAL,277 RUTLEDGE STREET,1200000,8/10/20
WILLIAMSBURG-CENTRAL,"525 KENT AVENUE, 3D",110000,8/10/20
WILLIAMSBURG-EAST,"154 SKILLMAN AVENUE, 2A",995000,8/10/20
BAY RIDGE,83 DAHLGREN PLACE,990000,8/11/20
BEDFORD STUYVESANT,"150 SKILLMAN STREET, 3",460000,8/11/20
BOERUM HILL,369 PACIFIC STREET,1675000,8/11/20
BOROUGH PARK,"1248 49TH STREET, 3B",700000,8/11/20
BROWNSVILLE,665 OSBORN STREET,10,8/11/20
BUSHWICK,"6 RENAISSANCE COURT, 8A",500000,8/11/20
COBBLE HILL-WEST,200 COLUMBIA STREET,3000000,8/11/20
DOWNTOWN-FULTON MALL,"53 BOERUM PLACE, 11B",926250,8/11/20
FLATBUSH-EAST,1640 TROY AVENUE,432978,8/11/20
FLATBUSH-EAST,18 FAIRVIEW PLACE,700000,8/11/20
GRAVESEND,109 27TH AVE,950000,8/11/20
GRAVESEND,"2260 BENSON AVENUE, 1J",370000,8/11/20
KENSINGTON,"135 OCEAN PARKWAY, 8H",435000,8/11/20
MADISON,2126 EAST 21ST STREET,681444,8/11/20
NAVY YARD,29 NORTH ELLIOTT PLACE,1100000,8/11/20
OCEAN PARKWAY-NORTH,"892 EAST 7TH ST, 1R",314340,8/11/20
OCEAN PARKWAY-SOUTH,2263 EAST 1ST STREET,680000,8/11/20
OLD MILL BASIN,2057 EAST 61ST ST,770000,8/11/20
PARK SLOPE,"300 8 AVENUE, 2A",238290,8/11/20
RED HOOK,172 COFFEY STREET,2050000,8/11/20
RED HOOK,"156 CONOVER STREET, 2",875000,8/11/20
SHEEPSHEAD BAY,"3368 SHORE PARKWAY, 7A",10,8/11/20
SHEEPSHEAD BAY,"3368 SHORE PARKWAY, P2",10,8/11/20
SUNSET PARK,5401 4TH AVENUE,2250000,8/11/20
WILLIAMSBURG-CENTRAL,"577 FLUSHING AVENUE, 7L",875695,8/11/20
BAY RIDGE,"9707 4TH AVENUE, 6K",390000,8/12/20
BAY RIDGE,"6917 SHORE ROAD, 4B",1200000,8/12/20
BEDFORD STUYVESANT,560 MACDONOUGH STREET,1580000,8/12/20
BEDFORD STUYVESANT,"444 PULASKI STREET, 1",1060000,8/12/20
BEDFORD STUYVESANT,537 PARK AVENUE,5800000,8/12/20
BEDFORD STUYVESANT,533 PARK AVENUE,5800000,8/12/20
BEDFORD STUYVESANT,54 KOSCIUSZKO STREET,3100000,8/12/20
BEDFORD STUYVESANT,56 KOSCIUSZKO STREET,3100000,8/12/20
BEDFORD STUYVESANT,535 PARK AVENUE,5800000,8/12/20
BRIGHTON BEACH,"45 OCEANA DRIVE EAST, PH2A",1590000,8/12/20
BRIGHTON BEACH,"45 OCEANA DRIVE EAST, 5",1590000,8/12/20
BROOKLYN HEIGHTS,"360 FURMAN STREET, T12",100000,8/12/20
CANARSIE,"612 LOUISIANA AVENUE, 1",330000,8/12/20
CONEY ISLAND,"444 NEPTUNE AVENUE, 4L",300000,8/12/20
CROWN HEIGHTS,"1040 CARROLL STREET, 2G",120000,8/12/20
CROWN HEIGHTS,796 DEAN STREET,1000000,8/12/20
EAST NEW YORK,527 SHEPHERD,670000,8/12/20
EAST NEW YORK,2571 PITKIN AVENUE,10,8/12/20
EAST NEW YORK,"1081 NEW JERSEY AVENUE, 2-D A",290000,8/12/20
FLATBUSH-CENTRAL,"415 ARGYLE ROAD, 4M",670000,8/12/20
FLATBUSH-CENTRAL,"15 EAST 19TH STREET, 5B",570000,8/12/20
FLATBUSH-EAST,128 EAST 35TH STREET,810000,8/12/20
FLATBUSH-NORTH,"446 KINGSTON AVENUE, E21",196100,8/12/20
FORT GREENE,"147 LAFAYETTE AVENUE, B",1900000,8/12/20
MIDWOOD,"1615 AVENUE I, 322",430000,8/12/20
OCEAN PARKWAY-SOUTH,511 AVENUE U,1999950,8/12/20
PARK SLOPE,"701 PRESIDENT STREET, 4",1650000,8/12/20
PARK SLOPE SOUTH,"462 15TH STREET, 4L",1100000,8/12/20
PARK SLOPE SOUTH,"575 4TH AVENUE, 3D",1588500,8/12/20
PARK SLOPE SOUTH,"575 4TH AVENUE, P12",1588500,8/12/20
PARK SLOPE SOUTH,"575 4TH AVENUE, SS5",1588500,8/12/20
PROSPECT HEIGHTS,"135 EASTERN PARKWAY, 2B",655000,8/12/20
SPRING CREEK,411 SCHROEDERS AVENUE,547180,8/12/20
SPRING CREEK,438 SCHROEDERS AVENUE,688875,8/12/20
WILLIAMSBURG-CENTRAL,"755 KENT AVENUE, 405",920000,8/12/20
WYCKOFF HEIGHTS,418 SUYDAM STREET,2025000,8/12/20
BATH BEACH,240 BAY 13TH STREET,1836000,8/13/20
BAY RIDGE,236 SENATOR STREET,1200000,8/13/20
BAY RIDGE,"9511 SHORE ROAD, 212",415000,8/13/20
BRIGHTON BEACH,"3016 BRIGHTON 5TH STREET, 2B",405000,8/13/20
BRIGHTON BEACH,"65 OCEANA DRIVE EAST, 1C",700000,8/13/20
BROOKLYN HEIGHTS,"360 FURMAN STREET, 426",582000,8/13/20
BUSHWICK,136 WEIRFIELD STREET,250000,8/13/20
BUSHWICK,191 MOFFAT STREET,1425000,8/13/20
BUSHWICK,"557 HART STREET, 5B",853500,8/13/20
CLINTON HILL,"473 CLINTON AVENUE, 1",1800000,8/13/20
CLINTON HILL,"65 IRVING PLACE, 3R",651680,8/13/20
CONEY ISLAND,2817 WEST 28TH STREET,560000,8/13/20
CYPRESS HILLS,137 VERMONT STREET,560000,8/13/20
EAST NEW YORK,105-34 RUBY STREET,995000,8/13/20
FLATBUSH-CENTRAL,"1702 NEWKIRK AVENUE, 4A",916425,8/13/20
FLATBUSH-CENTRAL,"1702 NEWKIRK AVENUE, T2",916425,8/13/20
FORT GREENE,19 SOUTH OXFORD,3350000,8/13/20
GRAVESEND,2559 STILLWELL AVE,1500000,8/13/20
GREENPOINT,"43 NEWELL STREET, 3B",765000,8/13/20
MARINE PARK,1569 EAST 35TH STREET,735000,8/13/20
MIDWOOD,"1615 AVENUE I, 216",512000,8/13/20
OCEAN PARKWAY-SOUTH,456 AVENUE V,1167500,8/13/20
OCEAN PARKWAY-SOUTH,458 AVENUE V,1167500,8/13/20
OLD MILL BASIN,2269 UTICA AVENUE,550000,8/13/20
PARK SLOPE,"78 8TH AVENUE, 1E",643264,8/13/20
SHEEPSHEAD BAY,N/A EAST 28TH STREET,45000,8/13/20
SUNSET PARK,428 60TH STREET,1360000,8/13/20
WYCKOFF HEIGHTS,373 PALMETTO STREET,835000,8/13/20
BATH BEACH,8868 BAY 16TH STREET,1190000,8/14/20
BAY RIDGE,453 76TH STREET,1225000,8/14/20
BEDFORD STUYVESANT,"377 QUINCY STREET, 4",875000,8/14/20
BENSONHURST,"1817 73RD STREET, 2B",608000,8/14/20
BENSONHURST,1752 76TH STREET,1174325,8/14/20
BROOKLYN HEIGHTS,"1 PIERREPONT STREET, 2A",4800000,8/14/20
BUSH TERMINAL,5113 2ND AVENUE,7000000,8/14/20
CANARSIE,"1353/1365 EAST 91 STREET, 402R",176000,8/14/20
CLINTON HILL,"195 WILLOUGHBY AVENUE, 513",142000,8/14/20
CROWN HEIGHTS,168 SULLIVAN PLACE,1250000,8/14/20
DOWNTOWN-FULTON MALL,"110 LIVINGSTON STREET, 4B",1350000,8/14/20
EAST NEW YORK,600 MILLER AVENUE,932000,8/14/20
FLATBUSH-CENTRAL,141 LENOX ROAD,8141000,8/14/20
FLATBUSH-CENTRAL,261 LENOX ROAD,14759000,8/14/20
FLATBUSH-EAST,4320 AVENUE J,735000,8/14/20
FLATLANDS,1579 EAST 45TH STREET,40000,8/14/20
GOWANUS,"149 14TH STREET, 1",1807394,8/14/20
GRAVESEND,1616 WEST 9TH STREET,400000,8/14/20
GREENPOINT,"43 NEWELL STREET, PH-2",985000,8/14/20
MADISON,"1800 EAST 12TH STREET, 4F",320000,8/14/20
MIDWOOD,"1587 EAST 19TH STREET, 7J",448899,8/14/20
MIDWOOD,"1587 EAST 19TH STREET, P18",448899,8/14/20
OCEAN HILL,633 MACDONOUGH,10,8/14/20
OCEAN PARKWAY-SOUTH,"2552 EAST 7TH STREET, 6J",335000,8/14/20
PARK SLOPE,44 PROSPECT PLACE,3020000,8/14/20
PARK SLOPE,"691 SACKETT STREET, 1",1850000,8/14/20
PARK SLOPE,"103 4TH AVENUE, 4L",440000,8/14/20
SHEEPSHEAD BAY,2647 BROWN STREET,996000,8/14/20
SPRING CREEK,722 WALKER STREET,547180,8/14/20
SPRING CREEK,476 SCHROEDERS AVENUE,547180,8/14/20
SUNSET PARK,205 20TH STREET,1575000,8/14/20
WILLIAMSBURG-CENTRAL,"577 FLUSHING AVENUE, 3L",1242265,8/14/20
WILLIAMSBURG-CENTRAL,"31 LORIMER STREET, D",600000,8/14/20
WILLIAMSBURG-EAST,"37 THROOP AVENUE, 2L",940000,8/14/20
WILLIAMSBURG-NORTH,111 KENT AVENUE,45340000,8/14/20
WILLIAMSBURG-NORTH,"34 NORTH 7TH STREET, PH2A",1850000,8/14/20
WILLIAMSBURG-NORTH,"22 NORTH 6TH STREET, 15K",1510000,8/14/20
WILLIAMSBURG-NORTH,"22 NORTH 6TH STREET, 15L",990000,8/14/20
WILLIAMSBURG-NORTH,"1 NORTH PIER, 11D",1685000,8/14/20
BEDFORD STUYVESANT,272 QUINCY STREET,1375000,8/17/20
BERGEN BEACH,7302 AVENUE N,875000,8/17/20
BOROUGH PARK,1365 48TH STREET,3150000,8/17/20
BOROUGH PARK,1279 TABOR COURT,350000,8/17/20
BOROUGH PARK,"1548 53RD STREET, 1",757561,8/17/20
BRIGHTON BEACH,"40 OCEANA DRIVE WEST, 9D",100000,8/17/20
CROWN HEIGHTS,810 STERLING PLACE,1145000,8/17/20
CROWN HEIGHTS,"493 PARK PLACE, 4R",575000,8/17/20
DOWNTOWN-FULTON MALL,"138 WILLOUGHBY STREET, 25A",1990314,8/17/20
DYKER HEIGHTS,1254 84 STREET,900000,8/17/20
DYKER HEIGHTS,7001 FT HAMILTON PARKWAY,1600000,8/17/20
EAST NEW YORK,462 VAN SICLEN AVENUE,515000,8/17/20
FLATBUSH-EAST,3410 CLARENDON ROAD,80000,8/17/20
FLATBUSH-EAST,1055 E 40,640000,8/17/20
GREENPOINT,"172 INDIA STREET, 2B",620000,8/17/20
MADISON,"1717 EAST 18TH ST, L1",175000,8/17/20
MADISON,"2131 OCEAN AVENUE, 7A",701574,8/17/20
OCEAN PARKWAY-NORTH,1435 EAST 8TH STREET,1225000,8/17/20
PARK SLOPE,200 BERKELEY PLACE,4000000,8/17/20
SUNSET PARK,739 45TH STREET,1170000,8/17/20
WILLIAMSBURG-CENTRAL,"90 LORIMER STREET, 7B",500000,8/17/20
WINDSOR TERRACE,25 HOWARD PLACE,2250000,8/17/20
BATH BEACH,8645 14TH AVENUE,1280000,8/18/20
BATH BEACH,328 BAY 11TH ST,860000,8/18/20
BAY RIDGE,"880 68TH STREET, 3H",430656,8/18/20
BAY RIDGE,"9511 SHORE ROAD, 414",490000,8/18/20
BEDFORD STUYVESANT,227 PUTNAM AVENUE,950000,8/18/20
BEDFORD STUYVESANT,645 HALSEY STREET,1220000,8/18/20
BENSONHURST,7819 17TH AVENUE,1420000,8/18/20
BERGEN BEACH,2044 EAST 68TH STREET,959300,8/18/20
BOROUGH PARK,"821 53RD STREET, C2",1236300,8/18/20
BROWNSVILLE,664 SARATOGA AVENUE,1,8/18/20
CLINTON HILL,48 DOWNING STREET,4185000,8/18/20
CROWN HEIGHTS,1745 DEAN STREET,996000,8/18/20
DOWNTOWN-FULTON MALL,283 STATE STREET,1975000,8/18/20
GOWANUS,"229 9TH STREET, 304",758596,8/18/20
MADISON,2723 AVENUE S,980500,8/18/20
MADISON,"2503 OCEAN AVENUE, 7B",546564,8/18/20
MARINE PARK,1640 EAST 33RD STREET,600000,8/18/20
MIDWOOD,1189 EAST 12 ST,1111000,8/18/20
MIDWOOD,1680 EAST 21ST STREET,1100000,8/18/20
MIDWOOD,"1389 EAST 18TH STREET, 3B",490000,8/18/20
MIDWOOD,"1389 EAST 18TH STREET, P3",490000,8/18/20
OCEAN PARKWAY-NORTH,1711 EAST 3RD STREET,3600000,8/18/20
OCEAN PARKWAY-NORTH,1709 EAST 3RD STREET,3600000,8/18/20
OCEAN PARKWAY-NORTH,"1075 OCEAN PARKWAY, 6E",375000,8/18/20
RED HOOK,"160 IMLAY STREET, 3B4",978480,8/18/20
RED HOOK,"160 IMLAY STREET, 4D2",1346529,8/18/20
SHEEPSHEAD BAY,"2675 OCEAN AVENUE, 6M",380000,8/18/20
SUNSET PARK,"420 64TH STREET, 4F",350000,8/18/20
WILLIAMSBURG-EAST,143 AINSLIE STREET,1830000,8/18/20
WILLIAMSBURG-EAST,"850 METROPOLITAN AVENUE, 1E",745000,8/18/20
WILLIAMSBURG-SOUTH,"109 SOUTH 8TH STREET, 5",999000,8/18/20
BAY RIDGE,"327 101ST STREET, A",430500,8/19/20
BAY RIDGE,"6665 COLONIAL ROAD, 1A",460000,8/19/20
BEDFORD STUYVESANT,175 HALSEY STREET,999999,8/19/20
BOROUGH PARK,1171 51ST STREET,925000,8/19/20
BROOKLYN HEIGHTS,"105 MONTAGUE STREET, 304",1395000,8/19/20
CANARSIE,9904 GLENWOOD ROAD,880000,8/19/20
CONEY ISLAND,"2930 WEST 5 STREET, 23N",345000,8/19/20
CROWN HEIGHTS,1194 ST JOHNS PLACE,1730000,8/19/20
CYPRESS HILLS,374 RIDGEWOOD AVENUE,665000,8/19/20
DOWNTOWN-FULTON MALL,"138 WILLOUGHBY STREET, 36J",1310415,8/19/20
DOWNTOWN-FULTON MALL,"138 WILLOUGHBY STREET, 25C",1216660,8/19/20
DOWNTOWN-METROTECH,"182 CONCORD STREET, 4A",1115000,8/19/20
DYKER HEIGHTS,1271 BAY RIDGE AVENUE,1375000,8/19/20
FLATBUSH-CENTRAL,1370 FLATBUSH AVE,350000,8/19/20
FLATBUSH-CENTRAL,1372 FLATBUSH AVE,350000,8/19/20
FLATBUSH-CENTRAL,1024 FLATBUSH AVENUE,11175000,8/19/20
